time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,P_elec,Vt
1.03,0.0,0.0,-3.6363630553796837,0.0,0.0,-5.320245375037335,0.0,0.0,0.0,0.0,0.0,0.0,20.397954721744455,48.0
1.04,0.0,0.0,-3.6895796735978266,0.0,0.0,-5.323077653133758,0.0,0.0,0.0,0.0,0.0,0.0,20.40380776301891,48.0
1.05,0.0,0.0,-3.7428201536254013,0.0,0.0,-5.325017930567504,0.0,0.0,0.0,0.0,0.0,0.0,20.40968922135589,48.0
1.06,0.0,0.0,-3.79607558126485,0.0,0.0,-5.326067369111687,0.0,0.0,0.0,0.0,0.0,0.0,20.41559896011207,48.0
1.07,0.0,0.0,-3.8493370539341516,0.0,0.0,-5.326227130003124,0.0,0.0,0.0,0.0,0.0,0.0,20.42153684459654,48.0
1.08,0.0,0.0,-3.9025964899290884,0.0,0.0,-5.325660192279639,0.0,0.0,0.0,0.0,0.0,0.0,20.426413883081302,48.0
1.09,0.0,0.0,-3.9558473536506145,0.0,0.0,-5.324512801515414,0.0,0.0,0.0,0.0,0.0,0.0,20.430328955958768,48.0
1.1,0.0,0.0,-4.009084425670497,0.0,0.0,-5.322901952635021,0.0,0.0,0.0,0.0,0.0,0.0,20.433469590572162,48.0
1.11,0.0,0.0,-4.062303539480968,0.0,0.0,-5.320921239890765,0.0,0.0,0.0,0.0,0.0,0.0,20.435987573584008,48.0
1.12,0.0,0.0,-4.115501370893309,0.0,0.0,-5.318645536915771,0.0,0.0,0.0,0.0,0.0,0.0,20.438005457323918,48.0
1.1300000000000001,0.0,0.0,-4.168675269556128,0.0,0.0,-5.316134740809075,0.0,0.0,0.0,0.0,0.0,0.0,20.439621999106024,48.0
1.1400000000000001,0.0,0.0,-4.22182312416974,0.0,0.0,-5.3134367674286365,0.0,0.0,0.0,0.0,0.0,0.0,20.440916661012373,48.0
1.1500000000000001,0.0,0.0,-4.274943254657603,0.0,0.0,-5.310589947639798,0.0,0.0,0.0,0.0,0.0,0.0,20.44195330385423,48.0
