time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
7.7,40.638517440249,-37.293965728618275,-53.96653773452126,-0.2518199165638144,-6.25490798861408,-21.585866275050975,3.3206336410651565,0.5959657121677169,0.4025276017047405,0.5837239047011902,-0.1992562054893698,0.2706105138246033
7.75,40.619104146558804,-37.601344491460786,-55.047376150550356,-0.5242671085774989,-6.039620538444852,-21.6464222188185,3.341810598148231,0.6084540180793012,0.38863364241042425,0.578145540369646,-0.20497079469875348,0.2733876902530541
7.800000000000001,40.58613706871686,-37.89786735528233,-56.13105571144135,-0.7939332555374022,-5.820706173840623,-21.699521505332832,3.362620498921336,0.6214852006368251,0.37484566407143527,0.5724141651831284,-0.21055488011655069,0.27616530544817564
7.8500000000000005,40.53976089681692,-38.18335810309354,-57.21720507747495,-1.0605941425231027,-5.598370208459427,-21.745225426804172,3.3830581769387953,0.6350462188575167,0.3611718841723337,0.5665333610645636,-0.21600497187115328,0.2789430816507621
7.9,40.48013133502595,-38.457650804929976,-58.305456206160734,-1.324033459680217,-5.372818744266254,-21.783604534510616,3.403118715896218,0.6491236375615863,0.34761943030124876,0.5605068033250972,-0.22131766383261633,0.2817207410855083
7.95,40.40741470079109,-38.720589847519214,-59.395444808198455,-1.5840430202055633,-5.144258282684344,-21.814738356253024,3.422797413266716,0.66370368505114,0.3341943309282486,0.5543382583671431,-0.22648963574140177,0.28449800598878655
8.0,40.321787513688804,-38.972029944677004,-60.48681078889385,-1.8404229566520747,-4.912895342785153,-21.83871509729259,3.4420897358301197,0.6787723085845679,0.3209015048324991,0.5480315813305032,-0.23151765528342252,0.28727459863641586
8.05,40.22343607500329,-39.21183612881061,-61.579198674235506,-2.0929818954404293,-4.678936087553588,-21.8556313260779,3.4609912667866447,0.6943152273975903,0.30774474801643786,0.5415907136830366,-0.2363985801101335,0.29005024137145097
8.1,40.11255603912485,-39.439883723957855,-62.67225802090562,-2.341537109550646,-4.442585959210405,-21.86559164609572,3.4794976439956313,0.7103179830600825,0.2947267167960307,0.5350196807573627,-0.24112935980239966,0.2928246566319295
8.15,39.98935197785815,-39.65605830083808,-63.76564380956453,-2.5859146494513987,-4.204049324515545,-21.868708355199487,3.4976044886870894,0.7267659869934768,0.281848905579437,0.5283225892351664,-0.2457070377769034,0.2955975669786386
8.200000000000001,39.85403693872538,-39.8602556144359,-64.85901682081706,-2.8259494524070683,-3.9635291309151226,-21.86510109378213,3.5153073237508043,0.7436445650060821,0.26911161763193536,0.5215036245806459,-0.25012875313392274,0.29836869512285263
8.25,39.706831998340114,-40.05238152468013,-65.95204399333726,-3.0614854303820893,-3.721226574331312,-21.854896483164953,3.532601480403929,0.7609389987322599,0.25651392685984653,0.5145670484247452,-0.2543917424452908,0.30113776395406605
8.3,39.54796581191508,-40.23235190081876,-67.0443987636964,-3.292375536838555,-3.4773407793288738,-21.838227755572948,3.5494819916589178,0.7786345638852638,0.24405362831394428,0.5075171959017665,-0.25849334148145775,0.3039044965677035
8.35,39.37767415995012,-40.40009251012568,-68.13576138750804,-3.518481812795947,-3.2320684923251366,-21.81523437705855,3.5659434705400646,0.7967165652518826,0.23172717469214782,0.5003584729400526,-0.2624309868765371,0.30666861629281067
8.4,39.196199493126684,-40.55553889160657,-69.22581924157083,-3.7396754125909246,-2.9856037884422006,-21.786061664721462,3.581979970402883,0.8151703683689658,0.21952959558434676,0.49309535350843003,-0.26620221773033464,0.30942984671971624
8.450000000000001,39.00379047641144,-40.69863621539967,-70.31426710675765,-3.955836609840051,-2.7381377925315165,-21.750860399551623,3.59758482396115,0.833981427826423,0.2074543955123647,0.4857323768201185,-0.2698046771463208,0.31218791172768173
