x_km,y_km,detection_probability,threat_level
19.68,0.0,0.09722490801101734,low
19.92,0.0,0.09244834733698096,low
20.16,0.0,0.08779103356143057,low
20.4,0.0,0.08326149940141582,low
20.64,0.0,0.07886711870008822,low
20.88,0.0,0.07461409404753803,low
21.12,0.0,0.0705074632011628,low
21.36,0.0,0.0665511226884885,low
21.6,0.0,0.06274786664183482,low
21.84,0.0,0.05909943868608421,low
22.08,0.0,0.05560659457512853,low
22.32,0.0,0.0,low
22.56,0.0,0.0,low
22.8,0.0,0.0,low
23.04,0.0,0.0,low
23.28,0.0,0.0,low
23.52,0.0,0.0,low
23.76,0.0,0.0,low
24.0,0.0,0.0,low
24.24,0.0,0.0,low
24.48,0.0,0.0,low
24.72,0.0,0.0,low
24.96,0.0,0.0,low
25.2,0.0,0.0,low
25.44,0.0,0.0,low
25.68,0.0,0.0,low
25.92,0.0,0.0,low
26.16,0.0,0.0,low
26.4,0.0,0.0,low
26.64,0.0,0.0,low
26.88,0.0,0.0,low
27.12,0.0,0.0,low
27.36,0.0,0.0,low
27.6,0.0,0.0,low
27.84,0.0,0.0,low
28.08,0.0,0.0,low
28.32,0.0,0.0,low
28.56,0.0,0.0,low
28.8,0.0,0.0,low
29.04,0.0,0.0,low
29.28,0.0,0.0,low
29.52,0.0,0.0,low
29.76,0.0,0.0,low
30.0,0.0,0.0,low
30.24,0.0,0.0,low
30.48,0.0,0.0,low
0.0,0.24,0.5352436672551824,medium
0.24,0.24,0.5462316879059085,medium
0.48,0.24,0.5566445601156771,medium
0.72,0.24,0.5664584629732639,medium
0.96,0.24,0.5756525276057207,medium
1.2,0.24,0.5842087239646166,medium
1.44,0.24,0.592111722829449,medium
1.68,0.24,0.5993487401528048,medium
1.92,0.24,0.6059093706950788,high
2.16,0.24,0.6117854175441564,high
2.4,0.24,0.6169707236218465,high
2.64,0.24,0.6214610106767167,high
2.88,0.24,0.6252537305817457,high
3.12,0.24,0.6283479330197389,high
3.36,0.24,0.6307441528695996,high
3.6,0.24,0.6324443198170788,high
3.84,0.24,0.6334516919146349,high
4.08,0.24,0.6337708140127855,high
4.32,0.24,0.6334075011832072,high
4.56,0.24,0.6323688464535082,high
4.8,0.24,0.630663251376104,high
5.04,0.24,0.6283004771603695,high
5.28,0.24,0.6252917133109654,high
5.52,0.24,0.62164965994096,high
5.76,0.24,0.6173886191745601,high
6.0,0.24,0.6125245903345562,high
6.24,0.24,0.6070753629450965,high
6.48,0.24,0.6010606010026984,high
6.72,0.24,0.5945019115225795,medium
6.96,0.24,0.5874228901138056,medium
7.2,0.24,0.5798491363499129,medium
7.44,0.24,0.5718082320636435,medium
7.68,0.24,0.5633296764821404,medium
7.92,0.24,0.5544447733854407,medium
8.16,0.24,0.5451864672247857,medium
8.4,0.24,0.5355891273250948,medium
8.64,0.24,0.525688281797251,medium
8.88,0.24,0.5155203054215793,medium
9.12,0.24,0.5051220683207867,medium
9.36,0.24,0.49453055450440186,medium
9.6,0.24,0.4837824611553019,medium
9.84,0.24,0.47291379071630124,medium
10.08,0.24,0.4619594483613388,medium
10.32,0.24,0.4509528573046755,medium
10.56,0.24,0.4399256036659619,medium
10.8,0.24,0.42890712135647,medium
11.04,0.24,0.4179244257890908,medium
11.28,0.24,0.40700190325700014,medium
11.52,0.24,0.3961611606890486,medium
11.76,0.24,0.3854209382852787,medium
12.0,0.24,0.3747970853664622,medium
12.24,0.24,0.23946288725448828,low
12.48,0.24,0.236809966248674,low
12.72,0.24,0.23399260242389056,low
12.96,0.24,0.2310094508565223,low
13.2,0.24,0.22785962260363207,low
13.44,0.24,0.22454277490413835,low
13.68,0.24,0.22105920137821397,low
13.92,0.24,0.217409920436357,low
14.16,0.24,0.21359675992472846,low
14.4,0.24,0.20962243587020743,low
14.64,0.24,0.2054906230631407,low
14.88,0.24,0.20120601514466285,low
15.12,0.24,0.19677437186503774,low
15.36,0.24,0.19220255126435046,low
15.6,0.24,0.18749852470865122,low
15.84,0.24,0.18267137300051042,low
16.08,0.24,0.1777312621744154,low
16.32,0.24,0.17268939807939074,low
16.56,0.24,0.16755795943127366,low
16.8,0.24,0.16235000966549665,low
17.04,0.24,0.15707938861158197,low
17.28,0.24,0.15176058571084813,low
17.52,0.24,0.14640859717350613,low
17.76,0.24,0.1410387700835758,low
18.0,0.24,0.1356666369746211,low
18.24,0.24,0.13030774478523327,low
18.48,0.24,0.12497748233645091,low
18.72,0.24,0.11969091053884767,low
18.96,0.24,0.1144625994301282,low
19.2,0.24,0.1093064758708356,low
19.44,0.24,0.10423568530253632,low
19.68,0.24,0.09926247042486981,low
19.92,0.24,0.09439806900712111,low
20.16,0.24,0.0896526323526421,low
20.4,0.24,0.08503516521792813,low
20.64,0.24,0.08055348728845209,low
20.88,0.24,0.07621421566257182,low
21.12,0.24,0.07202276721937012,low
21.36,0.24,0.06798337926561453,low
21.6,0.24,0.06409914648314863,low
21.84,0.24,0.06037207193564451,low
22.08,0.24,0.05680312974080032,low
22.32,0.24,0.0,low
22.56,0.24,0.0,low
22.8,0.24,0.0,low
23.04,0.24,0.0,low
23.28,0.24,0.0,low
23.52,0.24,0.0,low
23.76,0.24,0.0,low
24.0,0.24,0.0,low
24.24,0.24,0.0,low
24.48,0.24,0.0,low
24.72,0.24,0.0,low
24.96,0.24,0.0,low
25.2,0.24,0.0,low
25.44,0.24,0.0,low
25.68,0.24,0.0,low
25.92,0.24,0.0,low
26.16,0.24,0.0,low
26.4,0.24,0.0,low
26.64,0.24,0.0,low
26.88,0.24,0.0,low
27.12,0.24,0.0,low
27.36,0.24,0.0,low
27.6,0.24,0.0,low
27.84,0.24,0.0,low
28.08,0.24,0.0,low
28.32,0.24,0.0,low
28.56,0.24,0.0,low
28.8,0.24,0.0,low
29.04,0.24,0.0,low
29.28,0.24,0.0,low
29.52,0.24,0.0,low
29.76,0.24,0.0,low
30.0,0.24,0.0,low
30.24,0.24,0.0,low
30.48,0.24,0.0,low
0.0,0.48,0.554386511366334,medium
0.24,0.48,0.5655368605307759,medium
0.48,0.48,0.5760901834816529,medium
0.72,0.48,0.5860239907427924,medium
0.96,0.48,0.5953187888469876,medium
1.2,0.48,0.603957932067854,high
1.44,0.48,0.6119274516986343,high
1.68,0.48,0.6192158704421062,high
1.92,0.48,0.6258140091633358,high
2.16,0.48,0.631714792786951,high
2.4,0.48,0.6369130615310743,high
2.64,0.48,0.6414053929956969,high
2.88,0.48,0.6451899398937322,high
3.12,0.48,0.6482662874519123,high
3.36,0.48,0.650635333733403,high
3.6,0.48,0.6522991953558281,high
3.84,0.48,0.6532611403031978,high
4.08,0.48,0.6535255487596814,high
4.32,0.48,0.6530979021258153,high
4.56,0.48,0.6519847996103679,high
4.8,0.48,0.6501940010198177,high
5.04,0.48,0.6477344935885361,high
5.28,0.48,0.644616579903501,high
5.52,0.48,0.6408519831763673,high
5.76,0.48,0.6364539653040595,high
6.0,0.48,0.6314374523421047,high
6.24,0.48,0.6258191612055971,high
6.48,0.48,0.6196177206366217,high
6.72,0.48,0.6128537787789992,high
6.96,0.48,0.6055500891517185,high
7.2,0.48,0.5977315665099807,medium
7.44,0.48,0.5894253041494144,medium
7.68,0.48,0.5806605447740599,medium
7.92,0.48,0.5714685982206391,medium
8.16,0.48,0.5618827011631218,medium
8.4,0.48,0.5519378163774075,medium
8.64,0.48,0.5416703720873415,medium
8.88,0.48,0.5311179451082131,medium
9.12,0.48,0.520318894663815,medium
9.36,0.48,0.5093119565863277,medium
9.6,0.48,0.4981358098719596,medium
9.84,0.48,0.4868286291009838,medium
10.08,0.48,0.47542763697481744,medium
10.32,0.48,0.46396867119397245,medium
10.56,0.48,0.4524857791762804,medium
10.8,0.48,0.441010852804461,medium
11.04,0.48,0.42957331361844525,medium
11.28,0.48,0.4181998567551192,medium
11.52,0.48,0.4069142596074776,medium
11.76,0.48,0.395737258743024,medium
12.0,0.48,0.38468649619791506,medium
12.24,0.48,0.37377653395027766,medium
12.48,0.48,0.2396326488120044,low
12.72,0.48,0.2368343841462629,low
12.96,0.48,0.23386970169792554,low
13.2,0.48,0.23073736093778716,low
13.44,0.48,0.22743665076136715,low
13.68,0.48,0.22396748373845485,low
13.92,0.48,0.2203304890580813,low
14.16,0.48,0.2165271022029815,low
14.4,0.48,0.21255964920288276,low
14.64,0.48,0.2084314231638833,low
14.88,0.48,0.20414675067002144,low
15.12,0.48,0.19971104562093595,low
15.36,0.48,0.19513084812288603,low
15.6,0.48,0.1904138462030784,low
15.84,0.48,0.18556887837866717,low
16.08,0.48,0.18060591548570984,low
16.32,0.48,0.17553602065665808,low
16.56,0.48,0.17037128691689465,low
16.8,0.48,0.16512475253275258,low
17.04,0.48,0.1598102949592355,low
17.28,0.48,0.15444250497279674,low
17.52,0.48,0.1490365432960089,low
17.76,0.48,0.14360798268764832,low
18.0,0.48,0.13817263904532232,low
18.24,0.48,0.13274639551374504,low
18.48,0.48,0.12734502388232508,low
18.72,0.48,0.12198400767209899,low
18.96,0.48,0.11667837124629027,low
